REF_AREA,Geographic area,INDICATOR,Indicator,SEX,Sex,WEALTH_QUINTILE,Wealth Quintile,SERIES_NAME,Series Name,SERIES_YEAR,Series Year,REGIONAL_GROUP,Regional group,TIME_PERIOD,OBS_VALUE,COUNTRY_NOTES,CONNECTION,DEATH_CATEGORY,CATEGORY,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of measure,SERIES_CATEGORY,Series Category,SERIES_TYPE,Series Type,STD_ERR,REF_DATE,AGE_GROUP_OF_WOMEN,Age Group of Women,TIME_SINCE_FIRST_BIRTH,Time Since First Birth,DEFINITION,INTERVAL,SERIES_METHOD,Series Method,LOWER_BOUND,UPPER_BOUND,STATUS,YEAR_TO_ACHIEVE,MODEL,Model Used
HND,Honduras,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1956-06,235.893308084349,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1956.5,,,,,,1,,,193.91255407089,279.264320146326,,,B3,B3
HND,Honduras,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1957-06,228.374819821851,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1957.5,,,,,,1,,,192.011489307815,266.0020701307,,,B3,B3
HND,Honduras,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1958-06,220.86967941401,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1958.5,,,,,,1,,,189.600531988031,253.240291913464,,,B3,B3
HND,Honduras,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1959-06,213.728994330841,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1959.5,,,,,,1,,,187.058787827358,241.950339566499,,,B3,B3
HND,Honduras,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1960-06,206.872591332248,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1960.5,,,,,,1,,,183.871562089592,231.152129428501,,,B3,B3
HND,Honduras,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1961-06,200.159427220673,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1961.5,,,,,,1,,,180.183357650778,221.538974277951,,,B3,B3
HND,Honduras,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1962-06,193.653071233634,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1962.5,,,,,,1,,,175.94127359806,212.468268986041,,,B3,B3
HND,Honduras,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1963-06,187.405433828119,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1963.5,,,,,,1,,,171.503077337092,204.196547293129,,,B3,B3
HND,Honduras,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1964-06,181.183984455387,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1964.5,,,,,,1,,,166.627238315568,196.84522151297,,,B3,B3
HND,Honduras,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1965-06,175.114681491558,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1965.5,,,,,,1,,,161.417760199397,190.162838612933,,,B3,B3
HND,Honduras,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1966-06,169.14401074245,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1966.5,,,,,,1,,,155.959329737252,183.798111368907,,,B3,B3
